log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
compute_mismatch_3061329_39.out,mcz_td,mismatch,0:5:16.98,1,24.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_40.out,mcz_td,mismatch,0:5:20.31,1,25.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_41.out,mcz_td,mismatch,0:5:19.1,1,25.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_42.out,mcz_td,mismatch,0:5:16.03,1,26.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_43.out,mcz_td,mismatch,0:5:20.39,1,26.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_44.out,mcz_td,mismatch,0:5:12.66,1,27.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_45.out,mcz_td,mismatch,0:5:14.87,1,27.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_46.out,mcz_td,mismatch,0:5:18.81,1,28.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_47.out,mcz_td,mismatch,0:5:18.25,1,28.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_48.out,mcz_td,mismatch,0:5:23.98,1,29.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_49.out,mcz_td,mismatch,0:5:25.57,1,29.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_50.out,mcz_td,mismatch,0:5:20.6,1,30.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_51.out,mcz_td,mismatch,0:5:20.51,1,30.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_52.out,mcz_td,mismatch,0:5:27.11,1,31.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_53.out,mcz_td,mismatch,0:5:21.8,1,31.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_54.out,mcz_td,mismatch,0:5:20.44,1,32.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_55.out,mcz_td,mismatch,0:5:19.97,1,32.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_56.out,mcz_td,mismatch,0:5:7.28,1,33.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_57.out,mcz_td,mismatch,0:5:9.29,1,33.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_58.out,mcz_td,mismatch,0:5:9.4,1,34.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_59.out,mcz_td,mismatch,0:5:9.23,1,34.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_60.out,mcz_td,mismatch,0:5:9.24,1,35.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_61.out,mcz_td,mismatch,0:5:8.74,1,35.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
