log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status,Note
build_template_banks_3132155_53.out,mcz_td,build,0:1:47.07,1,31.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz31p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_54.out,mcz_td,build,0:1:44.4,1,32.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz32_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_55.out,mcz_td,build,0:1:43.7,1,32.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz32p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_56.out,mcz_td,build,0:1:44.62,1,33.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz33_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_57.out,mcz_td,build,0:1:41.31,1,33.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz33p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_58.out,mcz_td,build,0:1:44.47,1,34.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz34_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_59.out,mcz_td,build,0:1:41.17,1,34.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz34p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_60.out,mcz_td,build,0:1:37.41,1,35.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz35_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_61.out,mcz_td,build,0:1:43.84,1,35.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz35p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_62.out,mcz_td,build,0:1:37.81,1,36.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz36_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_63.out,mcz_td,build,0:1:33.41,1,36.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz36p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_64.out,mcz_td,build,0:1:31.06,1,37.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz37_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_65.out,mcz_td,build,0:1:32.1,1,37.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz37p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_66.out,mcz_td,build,0:1:32.57,1,38.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz38_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_67.out,mcz_td,build,0:1:29.73,1,38.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz38p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_68.out,mcz_td,build,0:1:28.06,1,39.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz39_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_69.out,mcz_td,build,0:1:27.24,1,39.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz39p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_70.out,mcz_td,build,0:1:27.5,1,40.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz40_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_71.out,mcz_td,build,0:1:26.32,1,40.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz40p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_72.out,mcz_td,build,0:1:27.29,1,41.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz41_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_73.out,mcz_td,build,0:1:26.12,1,41.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz41p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_74.out,mcz_td,build,0:1:22.89,1,42.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz42_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_75.out,mcz_td,build,0:1:24.53,1,42.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz42p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_76.out,mcz_td,build,0:1:22.54,1,43.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz43_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_77.out,mcz_td,build,0:1:21.67,1,43.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz43p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_78.out,mcz_td,build,0:1:17.83,1,44.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz44_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
