log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status
compute_mismatch_3053769_12.out,mcz_td,mismatch,0:5:44.22,1e-8,32.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz32_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_13.out,mcz_td,mismatch,0:5:52.98,1e-8,33.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz33_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_14.out,mcz_td,mismatch,0:5:44.71,1e-8,34.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz34_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_15.out,mcz_td,mismatch,0:5:35.83,1e-8,35.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz35_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_16.out,mcz_td,mismatch,0:5:30.18,1e-8,36.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz36_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_17.out,mcz_td,mismatch,0:5:30.05,1e-8,37.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz37_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_18.out,mcz_td,mismatch,0:5:31.18,1e-8,38.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz38_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_19.out,mcz_td,mismatch,0:5:32.93,1e-8,39.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz39_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_0.out,mcz_td,mismatch,0:5:21.33,1e-8,40.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz40_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_1.out,mcz_td,mismatch,0:5:23.17,1e-8,41.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz41_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_2.out,mcz_td,mismatch,0:5:21.6,1e-8,42.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz42_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_3.out,mcz_td,mismatch,0:5:43.1,1e-8,43.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz43_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_4.out,mcz_td,mismatch,0:5:43.6,1e-8,44.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz44_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_5.out,mcz_td,mismatch,0:5:36.59,1e-8,45.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz45_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053794_6.out,mcz_td,mismatch,0:5:37.29,1e-8,46.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz46_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
